Item Code,Size & Description,Unit Size,UPC,List Price,Net Price,cost,Prod,Sort,LIST,
6X38HWHSTSZ,6 X 3/8    HEX WASHER T/S,100,70559101378,6.48,1.62,0.0162,2,200100,0.0648,C
6X38HWHSTSZJ,6 X 3/8    HEX WASHER T/S,100,70559195919,7.12,1.78,0.0178,2,200105,0.0712,C
6X12HWHSTSZJ,6 X 1/2    HEX WASHER T/S,100,70559195920,7.24,1.81,0.0181,2,200115,0.0724,C
6X34HWHSTSZJ,6 X 3/4    HEX WASHER T/S,100,70559195921,7.56,1.89,0.0189,2,200130,0.0756,C
6X1HWHSTSZJ,6 X 1      HEX WASHER T/S,100,70559195924,8.24,2.06,0.0206,2,200140,0.0824,C
7X12HWHSTSZJ,7 X 1/2    HEX WASHER T/S,100,70559101388,7.92,1.98,0.0198,2,200145,0.0792,C
8X38HWHSTSZ,8 X 3/8    HEX WASHER T/S,100,70559101390,7.12,1.78,0.0178,2,200150,0.0712,C
8X12HWHSTSZJ,8 X 1/2    HEX WASHER T/S,100,70559196000,6.92,1.73,0.0173,2,200160,0.0692,C
8X58HWHSTSZ,8 X 5/8    HEX WASHER T/S,100,70559101394,8.04,2.01,0.0201,2,200165,0.0804,C
8X34HWHSTSZJ,8 X 3/4    HEX WASHER T/S,100,70559196002,7.68,1.92,0.0192,2,200175,0.0768,C
8X1HWHSTSZJ,8 X 1      HEX WASHER T/S,100,70559196004,9.12,2.28,0.0228,2,200185,0.0912,C
8X114HWHSTSZJ,8 X 1-1/4  HEX WASHER T/S,100,70559196006,11.68,2.92,0.0292,2,200195,0.1168,C
8X112HWHSTSZJ,8 X 1-1/2  HEX WASHER T/S,100,70559196008,12.56,3.14,0.0314,2,200210,0.1256,C
8X2HWHSTSZJ,8 X 2      HEX WASHER T/S,100,70559196010,14.04,3.51,0.0351,2,200225,0.1404,C
8X212HWHSTSZ,8 X 2-1/2  HEX WASHER T/S,100,70559101406,15.24,3.81,0.0381,2,200230,0.1524,C
8X3HWHSTSZ,8 X 3      HEX WASHER T/S,100,70559101408,16.92,4.23,0.0423,2,200235,0.1692,C
10X38HWHSTSZ,10 X 3/8   HEX WASHER T/S,100,70559101410,8.76,2.19,0.0219,2,200240,0.0876,C
10X12HWHSTSZJ,10 X 1/2   HEX WASHER T/S,100,70559196012,7.96,1.99,0.0199,2,200250,0.0796,C
10X58HWHSTSZ,10 X 5/8   HEX WASHER T/S,100,70559101414,9.56,2.39,0.0239,2,200260,0.0956,C
10X34HWHSTSZJ,10 X 3/4   HEX WASHER T/S,100,70559196014,8.68,2.17,0.0217,2,200270,0.0868,C
